texto,urgencia
Paciente com dor torácica intensa e sudorese fria com suspeita de infarto agudo do miocárdio,urgente
Exame evidencia hemorragia intracraniana aguda com desvio de linha média,urgente
Tomografia mostra embolia pulmonar maciça em artéria pulmonar principal,urgente
Paciente inconsciente com pressão arterial em queda e sinais de choque séptico,urgente
Radiografia com pneumotórax hipertensivo à direita e desvio do mediastino,urgente
Laudo indica dissecção aguda de aorta torácica com extensão para abdome,urgente
Paciente com sangramento digestivo alto ativo e queda importante de hemoglobina,urgente
Angiotomografia confirma oclusão arterial aguda de membro inferior esquerdo,urgente
Exame revela abdome agudo obstrutivo com perfuração de alça intestinal,urgente
Paciente politraumatizado com fratura exposta de fêmur e instabilidade hemodinâmica,urgente
Ressonância evidencia acidente vascular cerebral isquêmico em fase hiperaguda,urgente
Laudo aponta meningite bacteriana confirmada em líquor com rebaixamento do sensório,urgente
Paciente com saturação de oxigênio em 78 por cento e insuficiência respiratória grave,urgente
Ultrassom mostra gestação ectópica rota com líquido livre em cavidade abdominal,urgente
Eletrocardiograma com supradesnivelamento de segmento ST em parede anterior extensa,urgente
Exame laboratorial com potássio em 7.4 e alterações eletrocardiográficas associadas,urgente
Tomografia de crânio com hematoma subdural agudo e compressão ventricular,urgente
Paciente apresenta crise convulsiva contínua sem recuperação da consciência,urgente
Laudo descreve isquemia mesentérica aguda com sofrimento de alça,urgente
Exame confirma sepse de foco urinário com disfunção renal e hipotensão persistente,urgente
Tomografia evidencia nódulo pulmonar de 12 mm com bordas espiculadas a investigar,atencao
Exame mostra derrame pleural moderado à esquerda sem sinais de instabilidade,atencao
Laudo indica anemia com hemoglobina em 8.6 e necessidade de investigação ambulatorial,atencao
Ultrassom revela nódulo tireoidiano hipoecoico com microcalcificações,atencao
Paciente com dor abdominal persistente há duas semanas sem sinais de irritação peritoneal,atencao
Radiografia com sinais de consolidação pulmonar sugestiva de pneumonia em paciente estável,atencao
Exame de sangue com glicemia de jejum em 168 e hemoglobina glicada elevada,atencao
Laudo descreve litíase renal de 7 mm em ureter proximal sem hidronefrose importante,atencao
Ressonância de joelho com lesão de menisco medial e derrame articular discreto,atencao
Exame aponta elevação de enzimas hepáticas com padrão colestático,atencao
Ultrassom abdominal com esteatose hepática moderada e vesícula com múltiplos cálculos,atencao
Mamografia com nódulo categoria BI-RADS 4 indicando necessidade de biópsia,atencao
Laudo evidencia hipertensão arterial não controlada com picos de 170 por 100,atencao
Exame revela função renal em declínio com creatinina em 2.1,atencao
Tomografia mostra pólipo intestinal de 15 mm com indicação de colonoscopia,atencao
Paciente com perda de peso não intencional de 8 quilos em três meses,atencao
Espirometria com padrão obstrutivo moderado sem resposta completa ao broncodilatador,atencao
Exame de urina com proteinúria significativa em paciente diabético,atencao
Ecocardiograma com fração de ejeção em 45 por cento e hipocinesia leve,atencao
Laudo aponta fratura sem desvio em rádio distal com indicação de imobilização,atencao
Exame de sangue dentro dos padrões de normalidade para todos os parâmetros avaliados,normal
Radiografia de tórax sem alterações pleuropulmonares significativas,normal
Ultrassom abdominal com fígado rins e baço de dimensões e ecotextura preservadas,normal
Eletrocardiograma com ritmo sinusal regular e sem alterações de repolarização,normal
Laudo de rotina ocupacional sem achados que contraindiquem a atividade laboral,normal
Tomografia de seios da face sem sinais de processo inflamatório agudo,normal
Exame de urina tipo 1 sem leucocitúria hematúria ou proteinúria,normal
Ressonância de coluna lombar com discos preservados e canal medular amplo,normal
Ecocardiograma com fração de ejeção preservada e câmaras de dimensões normais,normal
Mamografia categoria BI-RADS 1 sem achados suspeitos,normal
Exame de fezes negativo para parasitas e sangue oculto,normal
Ultrassom de tireoide com glândula de volume normal e sem nódulos,normal
Laudo de audiometria com limiares auditivos dentro da normalidade bilateralmente,normal
Radiografia de joelho sem sinais de fratura ou derrame articular,normal
Hemograma completo sem alterações de série vermelha branca ou plaquetária,normal
Exame de vista com acuidade visual preservada e fundo de olho sem alterações,normal
Tomografia de crânio sem lesões expansivas ou sinais de sangramento,normal
Perfil lipídico dentro das metas terapêuticas para o risco cardiovascular do paciente,normal
Ultrassom obstétrico com feto em desenvolvimento adequado para a idade gestacional,normal
Densitometria óssea com massa óssea normal para a faixa etária,normal
